year;gender;source_form;rank;district_code;flagged
2021;F;Софија;1;;0
2021;M;Лука;1;;0
2021;F;Дуња;2;;0
2021;M;Лазар;2;;0
2021;F;Мила;3;;0
2021;M;Вук;3;;0
2021;F;Сара;4;;0
2021;M;Василије;4;;0
2021;F;Теодора;5;;0
2021;M;Стефан;5;;0
2021;F;Уна;6;;0
2021;M;Богдан;6;;0
2021;F;Милица;7;;0
2021;M;Алекса;7;;0
2021;F;Тара;8;;0
2021;M;Вукан;8;;0
2021;F;Николина;9;;0
2021;M;Филип;9;;0
2021;F;Нађа;10;;0
2021;M;Вукашин;10;;0
2021;F;Софија;1;beogradska;0
2021;M;Лука;1;beogradska;0
2021;F;Дуња;2;beogradska;0
2021;M;Лазар;2;beogradska;0
2021;F;Мила;3;beogradska;0
2021;M;Вук;3;beogradska;0
2021;F;Сара;4;beogradska;0
2021;M;Стефан;4;beogradska;0
2021;F;Теодора;5;beogradska;0
2021;M;Богдан;5;beogradska;0
2021;F;Уна;6;beogradska;0
2021;M;Филип;6;beogradska;0
2021;F;Тара;7;beogradska;0
2021;M;Василије;7;beogradska;0
2021;F;Петра;8;beogradska;0
2021;M;Алекса;8;beogradska;0
2021;F;Милица;9;beogradska;0
2021;M;Виктор;9;beogradska;0
2021;F;Нина;10;beogradska;0
2021;M;Вукан;10;beogradska;0
2021;F;Мила;1;zapadnobacka;0
2021;M;Лазар;1;zapadnobacka;0
2021;F;Теодора;2;zapadnobacka;0
2021;M;Лука;2;zapadnobacka;0
2021;F;Дуња;3;zapadnobacka;0
2021;M;Стефан;3;zapadnobacka;0
2021;F;Милица;4;zapadnobacka;0
2021;M;Василије;4;zapadnobacka;0
2021;F;Софија;5;zapadnobacka;0
2021;M;Душан;5;zapadnobacka;0
2021;F;Тара;6;zapadnobacka;0
2021;M;Алекса;6;zapadnobacka;0
2021;F;Сара;7;zapadnobacka;0
2021;M;Јован;7;zapadnobacka;0
2021;F;Нађа;8;zapadnobacka;0
2021;M;Михајло;8;zapadnobacka;0
2021;F;Анђела;9;zapadnobacka;0
2021;M;Филип;9;zapadnobacka;0
2021;F;Маша;10;zapadnobacka;0
2021;M;Богдан;10;zapadnobacka;0
2021;F;Софија;1;juznobanatska;0
2021;M;Лазар;1;juznobanatska;0
2021;F;Дуња;2;juznobanatska;0
2021;M;Лука;2;juznobanatska;0
2021;F;Милица;3;juznobanatska;0
2021;M;Стефан;3;juznobanatska;0
2021;F;Николина;4;juznobanatska;0
2021;M;Алекса;4;juznobanatska;0
2021;F;Сара;5;juznobanatska;0
2021;M;Филип;5;juznobanatska;0
2021;F;Теодора;6;juznobanatska;0
2021;M;Никола;6;juznobanatska;0
2021;F;Нина;7;juznobanatska;0
